pointNumber,player1Name,player2Name,pointScore,gameScore,setScore,tiebreakScore,side,serverName,returnerName,clientTeam,opponentTeam,Position,pointEndPosition,Duration,rallyCount,rallyCountFreq,firstServeIn,secondServeIn,serveResult,serveInPlacement,firstServeZone,secondServeZone,isAce,serverFarNear,serverStartLocation,returnerStartLocation,firstServeXCoord,firstServeYCoord,secondServeXCoord,secondServeYCoord,returnDirection,returnFhBh,errorType,returnError,lastShotDirection,lastShotFhBh,lastShotHitBy,lastShotResult,pointWonBy,isExcitingPoint,isBreakPoint,atNetPlayer1,atNetPlayer2,setNum,player1SetScore,player2SetScore,player1GameScore,player2GameScore,player1PointScore,player2PointScore,player1TiebreakScore,player2TiebreakScore,gameNumber,player1ServeResult,player1ServePlacement,player1ReturnPlacement,player1ReturnFhBh,player1LastShotPlacement,player1LastShotFhBh,player1LastShotResult,player2ServeResult,player2ServePlacement,player2ReturnPlacement,player2ReturnFhBh,player2LastShotPlacement,player2LastShotFhBh,player2LastShotResult,deepCountPlayer1,deepCountPlayer2,shortCountPlayer1,shortCountPlayer2,Name
48,Kaylan Bigun,Maxi Homberg,15-0,0-0,1-0,,Ad,Kaylan Bigun,Maxi Homberg,"Univeristy of California, Los Angeles",Pepperdine University,1926630.0,1939030.0,12400.0,7,5-8,1,0,1st Serve In,Body,Body,,False,Near,,,95.48642279,243.5583552,,,Crosscourt,Backhand,Net,,Crosscourt,Forehand,Kaylan Bigun,Error,Maxi Homberg,,False,,,2,1,0,0,0,15,0,,,1,1st Serve In,Ad: Body,,,Crosscourt,Forehand,Error,,,Crosscourt,Backhand,,,,2.0,2.0,0.0,1.0,"Set 2: 0-0, 15-0 Kaylan Bigun Serving"
49,Kaylan Bigun,Maxi Homberg,15-15,0-0,1-0,,Deuce,Kaylan Bigun,Maxi Homberg,"Univeristy of California, Los Angeles",Pepperdine University,1958170.0,1981869.0,23699.0,5,5-8,0,1,2nd Serve In,Body,T,Body,False,Near,,,-29.43624781,-10.63415901,-77.10055227,241.9897857,Down the Line,Forehand,Net,,Down the Line,Forehand,Kaylan Bigun,Error,Maxi Homberg,,False,,,2,1,0,0,0,15,15,,,1,2nd Serve In,Deuce: Body,,,Down the Line,Forehand,Error,,,Down the Line,Forehand,,,,0.0,0.0,1.0,2.0,"Set 2: 0-0, 15-15 Kaylan Bigun Serving"
50,Kaylan Bigun,Maxi Homberg,15-30,0-0,1-0,,Ad,Kaylan Bigun,Maxi Homberg,"Univeristy of California, Los Angeles",Pepperdine University,2001630.0,2022978.0,21348.0,5,5-8,0,1,2nd Serve In,T,T,T,False,Near,,,18.0,250.0,10.0,225.0,Crosscourt,Forehand,,,Down the Line,Forehand,Kaylan Bigun,Winner,Kaylan Bigun,,False,,,2,1,0,0,0,15,30,,,1,2nd Serve In,Ad: T,,,Down the Line,Forehand,Winner,,,Crosscourt,Forehand,,,,0.0,0.0,2.0,2.0,"Set 2: 0-0, 15-30 Kaylan Bigun Serving"
51,Kaylan Bigun,Maxi Homberg,30-30,0-0,1-0,,Deuce,Kaylan Bigun,Maxi Homberg,"Univeristy of California, Los Angeles",Pepperdine University,2061370.0,2067149.0,5779.0,2,1-4,1,0,1st Serve In,T,T,,False,Near,,,-15.95745844,244.3404582,,,Down the Line,Backhand,Net,Net,Down the Line,Backhand,Maxi Homberg,Error,Kaylan Bigun,,False,,,2,1,0,0,0,30,30,,,1,1st Serve In,Deuce: T,,,,,,,,Down the Line,Backhand,Down the Line,Backhand,Error,0.0,0.0,0.0,0.0,"Set 2: 0-0, 30-30 Kaylan Bigun Serving"
52,Kaylan Bigun,Maxi Homberg,40-30,0-0,1-0,,Ad,Kaylan Bigun,Maxi Homberg,"Univeristy of California, Los Angeles",Pepperdine University,2081830.0,2089250.0,7420.0,3,1-4,1,0,1st Serve In,Wide,Wide,,False,Near,,,148.1956802,224.1777176,,,Crosscourt,Backhand,,,Down the Line,,Kaylan Bigun,Winner,Kaylan Bigun,,False,Kaylan Bigun,,2,1,0,0,0,40,30,,,1,1st Serve In,Ad: Wide,,,Down the Line,,Winner,,,Crosscourt,Backhand,,,,0.0,0.0,0.0,1.0,"Set 2: 0-0, 40-30 Kaylan Bigun Serving"
53,Kaylan Bigun,Maxi Homberg,0-0,0-1,1-0,,Deuce,Maxi Homberg,Kaylan Bigun,"Univeristy of California, Los Angeles",Pepperdine University,2150429.0,2162850.0,12421.0,7,5-8,1,0,1st Serve In,T,T,,False,Near,,,-37.81064086,241.1330052,,,Down the Line,Forehand,Net,,Crosscourt,Backhand,Maxi Homberg,Error,Kaylan Bigun,,False,,,2,1,0,0,1,0,0,,,2,,,Down the Line,Forehand,,,,1st Serve In,Deuce: T,,,Crosscourt,Backhand,Error,2.0,2.0,1.0,0.0,"Set 2: 0-1, 0-0 Maxi Homberg Serving"
54,Kaylan Bigun,Maxi Homberg,0-15,0-1,1-0,,Ad,Maxi Homberg,Kaylan Bigun,"Univeristy of California, Los Angeles",Pepperdine University,2178399.0,2193060.0,14661.0,8,5-8,1,0,1st Serve In,T,T,,False,Near,,,19.83187883,242.814988,,,Crosscourt,Backhand,Net,,Down the Line,Forehand,Kaylan Bigun,Error,Maxi Homberg,,False,,,2,1,0,0,1,0,15,,,2,,,Crosscourt,Backhand,Down the Line,Forehand,Error,1st Serve In,Ad: T,,,,,,2.0,3.0,1.0,0.0,"Set 2: 0-1, 0-15 Maxi Homberg Serving"
55,Kaylan Bigun,Maxi Homberg,15-15,0-1,1-0,,Deuce,Maxi Homberg,Kaylan Bigun,"Univeristy of California, Los Angeles",Pepperdine University,2214600.0,2220600.0,6000.0,2,1-4,0,0,Double Fault,,Wide,,False,Near,,,-186.4549978,243.597091,,,Down the Line,Backhand,,,Down the Line,Backhand,Kaylan Bigun,Winner,Kaylan Bigun,,False,,,2,1,0,0,1,15,15,,,2,,,Down the Line,Backhand,Down the Line,Backhand,Winner,Double Fault,,,,,,,0.0,0.0,1.0,0.0,"Set 2: 0-1, 15-15 Maxi Homberg Serving"
56,Kaylan Bigun,Maxi Homberg,30-15,0-1,1-0,,Ad,Maxi Homberg,Kaylan Bigun,"Univeristy of California, Los Angeles",Pepperdine University,2240899.0,2247860.0,6961.0,3,1-4,1,0,1st Serve In,T,T,,False,Near,,,32.05278871,146.9572069,,,Crosscourt,Backhand,Net,,Down the Line,Forehand,Maxi Homberg,Error,Kaylan Bigun,,False,,,2,1,0,0,1,30,15,,,2,,,Crosscourt,Backhand,,,,1st Serve In,Ad: T,,,Down the Line,Forehand,Error,0.0,0.0,1.0,0.0,"Set 2: 0-1, 30-15 Maxi Homberg Serving"
57,Kaylan Bigun,Maxi Homberg,30-30,0-1,1-0,,Deuce,Maxi Homberg,Kaylan Bigun,"Univeristy of California, Los Angeles",Pepperdine University,2262229.0,2279600.0,17371.0,4,1-4,1,1,1st Serve In,T,T,T,False,Near,,,-13.49432962,244.1921752,-28.66777122,241.6205326,Down the Line,Forehand,Wide Left,,Crosscourt,Backhand,Kaylan Bigun,Error,Maxi Homberg,,False,,,2,1,0,0,1,30,30,,,2,,,Down the Line,Forehand,Crosscourt,Backhand,Error,1st Serve In,Deuce: T,,,,,,1.0,1.0,0.0,0.0,"Set 2: 0-1, 30-30 Maxi Homberg Serving"
58,Kaylan Bigun,Maxi Homberg,40-30,0-1,1-0,,Ad,Maxi Homberg,Kaylan Bigun,"Univeristy of California, Los Angeles",Pepperdine University,2297729.0,2310250.0,12521.0,7,5-8,1,0,1st Serve In,T,T,,False,Near,,,41.70358705,242.9375875,,,Crosscourt,Backhand,Wide Left,,Down the Line,Backhand,Maxi Homberg,Error,Kaylan Bigun,,False,,,2,1,0,0,1,40,30,,,2,,,Crosscourt,Backhand,,,,1st Serve In,Ad: T,,,Down the Line,Backhand,Error,1.0,2.0,2.0,0.0,"Set 2: 0-1, 40-30 Maxi Homberg Serving"
59,Kaylan Bigun,Maxi Homberg,40-40,0-1,1-0,,Deuce,Maxi Homberg,Kaylan Bigun,"Univeristy of California, Los Angeles",Pepperdine University,2327260.0,2345563.0,18303.0,2,1-4,0,1,2nd Serve In,Wide,Body,Wide,False,Near,,,-82.68313648,-3.158267717,-117.0,240.0,Crosscourt,Backhand,Net,Net,Crosscourt,Backhand,Kaylan Bigun,Winner,Kaylan Bigun,,True,,,2,1,0,0,1,40,40,,,2,,,Crosscourt,Backhand,Crosscourt,Backhand,Winner,2nd Serve In,Deuce: Wide,,,,,,0.0,0.0,1.0,0.0,"Set 2: 0-1, 40-40 Maxi Homberg Serving"
60,Kaylan Bigun,Maxi Homberg,0-0,0-2,1-0,,Deuce,Kaylan Bigun,Maxi Homberg,"Univeristy of California, Los Angeles",Pepperdine University,2383199.0,2391350.0,8151.0,3,1-4,1,0,1st Serve In,T,T,,False,Far,,,12.46067367,-190.9466262,,,Down the Line,Backhand,Long,,Down the Line,Forehand,Kaylan Bigun,Error,Maxi Homberg,,False,,,2,1,0,0,2,0,0,,,3,1st Serve In,Deuce: T,,,Down the Line,Forehand,Error,,,Down the Line,Backhand,,,,0.0,0.0,0.0,1.0,"Set 2: 0-2, 0-0 Kaylan Bigun Serving"
61,Kaylan Bigun,Maxi Homberg,0-15,0-2,1-0,,Ad,Kaylan Bigun,Maxi Homberg,"Univeristy of California, Los Angeles",Pepperdine University,2402260.0,2418459.0,16199.0,3,1-4,0,1,2nd Serve In,Body,Wide,Body,False,Far,,,-195.0295002,-193.8743548,-58.17892607,-204.2783574,Down the Line,Forehand,Long,,Down the Line,Forehand,Kaylan Bigun,Error,Maxi Homberg,,False,,,2,1,0,0,2,0,15,,,3,2nd Serve In,Ad: Body,,,Down the Line,Forehand,Error,,,Down the Line,Forehand,,,,0.0,0.0,0.0,1.0,"Set 2: 0-2, 0-15 Kaylan Bigun Serving"
62,Kaylan Bigun,Maxi Homberg,0-30,0-2,1-0,,Deuce,Kaylan Bigun,Maxi Homberg,"Univeristy of California, Los Angeles",Pepperdine University,2440780.0,2449209.0,8429.0,4,1-4,1,0,1st Serve In,T,T,,False,Far,,,33.30305118,-202.8281387,,,Crosscourt,Backhand,,,Down the Line,Backhand,Maxi Homberg,Winner,Maxi Homberg,,False,,,2,1,0,0,2,0,30,,,3,1st Serve In,Deuce: T,,,,,,,,Crosscourt,Backhand,Down the Line,Backhand,Winner,0.0,2.0,1.0,0.0,"Set 2: 0-2, 0-30 Kaylan Bigun Serving"
63,Kaylan Bigun,Maxi Homberg,0-40,0-2,1-0,,Ad,Kaylan Bigun,Maxi Homberg,"Univeristy of California, Los Angeles",Pepperdine University,2463810.0,2500429.0,36619.0,10,9-12,0,1,2nd Serve In,Body,T,Body,False,Far,,,-42.38819991,15.38185696,-65.09521544,-168.7510991,Down the Line,Forehand,Net,,Down the Line,Backhand,Maxi Homberg,Winner,Maxi Homberg,,True,Kaylan Bigun,,2,1,0,0,2,0,40,,,3,2nd Serve In,Ad: Body,,,,,,,,Down the Line,Forehand,Down the Line,Backhand,Winner,1.0,2.0,3.0,3.0,"Set 2: 0-2, 0-40 Kaylan Bigun Serving"
64,Kaylan Bigun,Maxi Homberg,15-40,0-2,1-0,,Deuce,Kaylan Bigun,Maxi Homberg,"Univeristy of California, Los Angeles",Pepperdine University,2522280.0,2538729.0,16449.0,3,1-4,0,1,2nd Serve In,Body,Body,Body,False,Far,,,82.45887467,19.86739939,66.16611439,-218.9563484,Crosscourt,Forehand,Net,,Down the Line,Backhand,Kaylan Bigun,Error,Maxi Homberg,,True,,,2,1,0,0,2,15,40,,,3,2nd Serve In,Deuce: Body,,,Down the Line,Backhand,Error,,,Crosscourt,Forehand,,,,0.0,1.0,0.0,0.0,"Set 2: 0-2, 15-40 Kaylan Bigun Serving"
65,Kaylan Bigun,Maxi Homberg,0-0,0-3,1-0,,Deuce,Maxi Homberg,Kaylan Bigun,"Univeristy of California, Los Angeles",Pepperdine University,2608709.0,2616739.0,8030.0,4,1-4,1,0,1st Serve In,T,T,,False,Far,,,44.73692038,-182.1465989,,,Crosscourt,Forehand,Wide Left,,Crosscourt,Backhand,Kaylan Bigun,Error,Maxi Homberg,,False,,,2,1,0,0,3,0,0,,,4,,,Crosscourt,Forehand,Crosscourt,Backhand,Error,1st Serve In,Deuce: T,,,,,,1.0,0.0,0.0,1.0,"Set 2: 0-3, 0-0 Maxi Homberg Serving"
