pointNumber,player1Name,player2Name,pointScore,gameScore,setScore,tiebreakScore,side,serverName,returnerName,clientTeam,opponentTeam,Position,pointEndPosition,Duration,rallyCount,rallyCountFreq,firstServeIn,secondServeIn,serveResult,serveInPlacement,firstServeZone,secondServeZone,isAce,serverFarNear,serverStartLocation,returnerStartLocation,firstServeXCoord,firstServeYCoord,secondServeXCoord,secondServeYCoord,returnDirection,returnFhBh,errorType,returnError,lastShotDirection,lastShotFhBh,lastShotHitBy,lastShotResult,pointWonBy,isExcitingPoint,isBreakPoint,atNetPlayer1,atNetPlayer2,setNum,player1SetScore,player2SetScore,player1GameScore,player2GameScore,player1PointScore,player2PointScore,player1TiebreakScore,player2TiebreakScore,gameNumber,player1ServeResult,player1ServePlacement,player1ReturnPlacement,player1ReturnFhBh,player1LastShotPlacement,player1LastShotFhBh,player1LastShotResult,player2ServeResult,player2ServePlacement,player2ReturnPlacement,player2ReturnFhBh,player2LastShotPlacement,player2LastShotFhBh,player2LastShotResult,deepCountPlayer1,deepCountPlayer2,shortCountPlayer1,shortCountPlayer2,Name
49,Kaylan Bigun,Miguel Perez Pena,30-40,3-5,0-0,,Ad,Kaylan Bigun,Miguel Perez Pena,UCLA,UGA,2293600.0,2298320.0,4720.0,4,1-4,1,0,1st Serve In,Wide,Wide,,False,Near,,,140.65988626414432,224.03414260705844,,,Crosscourt,Backhand,,,Down the Line,Backhand,Miguel Perez Pena,Winner,Miguel Perez Pena,,True,,,1,0,0,3,5,30,40,,,9,1st Serve In,Ad: Wide,,,,,,,,Crosscourt,Backhand,Down the Line,Backhand,Winner,0.0,0.0,1.0,2.0,"Set 1: 3-5, 30-40 Kaylan Bigun Serving"
50,Kaylan Bigun,Miguel Perez Pena,0-0,4-5,0-0,,Deuce,Miguel Perez Pena,Kaylan Bigun,UCLA,UGA,2406530.0,2419629.0,13099.0,2,1-4,0,0,Double Fault,Body,Body,Body,False,Near,,,-64.23234908,-210.9641076,-91.10009296,291.3826170164724,Down the Line,Backhand,Net,Net,Down the Line,Backhand,Kaylan Bigun,Error,Miguel Perez Pena,,False,,,1,0,0,4,5,0,0,,,10,,,Down the Line,Backhand,Down the Line,Backhand,Error,Double Fault,Deuce: Body,,,,,,0.0,0.0,0.0,0.0,"Set 1: 4-5, 0-0 Miguel Perez Pena Serving"
51,Kaylan Bigun,Miguel Perez Pena,0-15,4-5,0-0,,Ad,Miguel Perez Pena,Kaylan Bigun,UCLA,UGA,2442090.0,2442860.0,770.0,2,1-4,1,0,1st Serve In,Body,Body,,False,Near,,,66.41912182848712,200.57706146096373,,,Down the Line,Forehand,,,Down the Line,Forehand,Kaylan Bigun,Winner,Kaylan Bigun,,False,,,1,0,0,4,5,0,15,,,10,,,Down the Line,Forehand,Down the Line,Forehand,Winner,1st Serve In,Ad: Body,,,,,,0.0,0.0,1.0,0.0,"Set 1: 4-5, 0-15 Miguel Perez Pena Serving"
52,Kaylan Bigun,Miguel Perez Pena,15-15,4-5,0-0,,Deuce,Miguel Perez Pena,Kaylan Bigun,UCLA,UGA,2468229.0,2488489.0,20260.0,7,5-8,0,1,2nd Serve In,Body,Body,Body,False,Near,,,-58.4761811,-207.0516021,-75.54250875,231.89563101475335,Down the Line,Forehand,Net,,Down the Line,Forehand,Miguel Perez Pena,Error,Kaylan Bigun,,False,,,1,0,0,4,5,15,15,,,10,,,Down the Line,Forehand,,,,2nd Serve In,Deuce: Body,,,Down the Line,Forehand,Error,1.0,0.0,2.0,2.0,"Set 1: 4-5, 15-15 Miguel Perez Pena Serving"
53,Kaylan Bigun,Miguel Perez Pena,15-30,4-5,0-0,,Ad,Miguel Perez Pena,Kaylan Bigun,UCLA,UGA,2521620.0,2522389.0,769.0,2,1-4,1,0,1st Serve In,Body,Body,,False,Near,,,86.56685804894916,244.80429243206947,,,Down the Line,Backhand,Net,Net,Down the Line,Backhand,Kaylan Bigun,Error,Miguel Perez Pena,,False,,,1,0,0,4,5,15,30,,,10,,,Down the Line,Backhand,Down the Line,Backhand,Error,1st Serve In,Ad: Body,,,,,,0.0,0.0,0.0,0.0,"Set 1: 4-5, 15-30 Miguel Perez Pena Serving"
54,Kaylan Bigun,Miguel Perez Pena,30-30,4-5,0-0,,Deuce,Miguel Perez Pena,Kaylan Bigun,UCLA,UGA,2548919.0,2549899.0,980.0,2,1-4,1,0,1st Serve In,Body,Body,,False,Near,,,-91.83944116,242.7503007435316,,,Crosscourt,Forehand,Long,Long,Crosscourt,Forehand,Kaylan Bigun,Error,Miguel Perez Pena,,False,,,1,0,0,4,5,30,30,,,10,,,Crosscourt,Forehand,Crosscourt,Forehand,Error,1st Serve In,Deuce: Body,,,,,,0.0,0.0,0.0,0.0,"Set 1: 4-5, 30-30 Miguel Perez Pena Serving"
55,Kaylan Bigun,Miguel Perez Pena,40-30,4-5,0-0,,Ad,Miguel Perez Pena,Kaylan Bigun,UCLA,UGA,2576090.0,2582149.0,6059.0,6,5-8,1,0,1st Serve In,Body,Body,,False,Near,,,88.39869313206282,244.9846128607658,,,Down the Line,Forehand,Net,,Down the Line,Backhand,Kaylan Bigun,Error,Miguel Perez Pena,,False,,,1,0,0,4,5,40,30,,,10,,,Down the Line,Forehand,Down the Line,Backhand,Error,1st Serve In,Ad: Body,,,,,,1.0,0.0,1.0,2.0,"Set 1: 4-5, 40-30 Miguel Perez Pena Serving"
56,Kaylan Bigun,Miguel Perez Pena,0-0,5-5,0-0,,Deuce,Kaylan Bigun,Miguel Perez Pena,UCLA,UGA,2608050.0,2621500.0,13450.0,4,1-4,0,1,2nd Serve In,T,T,T,False,Far,,,45.87216207346712,207.0515638669096,51.87900262464511,-203.6366907,Crosscourt,Forehand,Net,,Down the Line,Forehand,Miguel Perez Pena,Winner,Miguel Perez Pena,,False,,,1,0,0,5,5,0,0,,,11,2nd Serve In,Deuce: T,,,,,,,,Crosscourt,Forehand,Down the Line,Forehand,Winner,1.0,1.0,0.0,1.0,"Set 1: 5-5, 0-0 Kaylan Bigun Serving"
57,Kaylan Bigun,Miguel Perez Pena,0-15,5-5,0-0,,Ad,Kaylan Bigun,Miguel Perez Pena,UCLA,UGA,2648010.0,2648010.0,0.0,1,1-4,1,0,1st Serve In,T,T,,True,Far,,,-12.14726597,-179.0361002,,,,,,,,,Kaylan Bigun,,Kaylan Bigun,,False,,,1,0,0,5,5,0,15,,,11,Ace,Ad: T,,,,,,,,,,,,,0.0,0.0,0.0,0.0,"Set 1: 5-5, 0-15 Kaylan Bigun Serving"
58,Kaylan Bigun,Miguel Perez Pena,15-15,5-5,0-0,,Deuce,Kaylan Bigun,Miguel Perez Pena,UCLA,UGA,2667350.0,2676780.0,9430.0,8,5-8,1,0,1st Serve In,Wide,Wide,,False,Far,,,142.47832458435337,-235.2792323,,,Crosscourt,Forehand,,,Down the Line,Forehand,Miguel Perez Pena,Winner,Miguel Perez Pena,,False,,,1,0,0,5,5,15,15,,,11,1st Serve In,Deuce: Wide,,,,,,,,Crosscourt,Forehand,Down the Line,Forehand,Winner,1.0,2.0,2.0,2.0,"Set 1: 5-5, 15-15 Kaylan Bigun Serving"
